Point,Zone,Probe,DAS,Date,depth_5,depth_15,depth_25,depth_35,depth_45,depth_55,depth_65,depth_75,depth_85,Neutron_depth_5,Neutron_depth_15,Neutron_depth_25,Neutron_depth_35,Neutron_depth_45,Neutron_depth_55,Neutron_depth_65,Neutron_depth_75,Neutron_depth_85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,71,23-Feb,17.34537458,37.61628333,47.58930875,54.26829271,53.58511396,53.59861792,55.0921275,54.59647271,55.25982292,15.85367237,34.38128296,43.4966282,49.60121954,48.97679416,48.98913678,50.35420454,49.90117606,50.50747815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,72,24-Feb,15.56783396,35.49917208,44.75466646,54.06790354,53.50900375,53.54816146,55.08462146,54.57633375,55.25999542,14.22900024,32.44624328,40.90576514,49.41806384,48.90722943,48.94301957,50.34734401,49.88276905,50.50763581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,73,25-Feb,14.22353979,33.82564292,42.15301063,53.82321042,53.41641979,53.50677292,55.07078,54.59206146,55.24893917,13.00031537,30.91663763,38.52785172,49.19441432,48.82260769,48.90519045,50.33469292,49.89714417,50.4975304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,74,26-Feb,13.17655188,32.47415854,39.82464479,53.44687375,53.32780021,53.46417958,55.02160146,54.55907667,55.21129292,12.04336842,29.68138091,36.39972534,48.85044261,48.74160939,48.86626014,50.28974373,49.86699608,50.46312173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,75,27-Feb,12.24297938,31.13692396,37.59798646,52.85128792,53.19871167,53.38287958,54.97345063,54.50443875,55.17832188,11.19008315,28.4591485,34.36455962,48.30607716,48.62362247,48.79195194,50.24573388,49.81705702,50.4329862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,76,28-Feb,11.42759875,29.92812875,35.54725688,51.97299667,53.0547575,53.30577167,54.93881271,54.44102938,55.1534725,10.44482526,27.35430968,32.49019279,47.50331896,48.49204836,48.72147531,50.21407482,49.75910085,50.41027387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,77,29-Feb,10.78843125,28.84381458,33.76702604,50.81717021,52.85872271,53.34125646,54.88837313,54.38665771,55.13535417,9.860626163,26.36324653,30.8630618,46.44689357,48.31287256,48.7539084,50.16797304,49.70940515,50.39371371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,78,1-Mar,10.70640938,28.1277275,32.63983333,49.73906479,52.74568438,53.32290042,54.86107792,54.36407542,55.13397271,9.785658173,25.70874294,29.83280766,45.46150522,48.20955552,48.73713098,50.14302522,49.68876493,50.39245106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,79,2-Mar,11.15590438,27.35134021,31.24546479,47.88403729,52.6015875,53.27352354,54.81651063,54.30268479,55.14622667,10.1964966,24.99912495,28.55835482,43.76601008,48.07785098,48.69200052,50.10229072,49.6326539,50.40365118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,80,3-Mar,11.28532875,26.45725583,29.59647958,45.44727854,52.26147,53.18887521,54.73639708,54.23157146,55.156925,10.31479048,24.18193183,27.05118234,41.53881259,47.76698358,48.61463194,50.02906693,49.56765631,50.41342945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,81,4-Mar,10.85301333,25.79873146,28.0604475,42.75617208,51.13332854,53.09257583,54.68922125,54.18992708,55.119315,9.919654184,23.58004055,25.64724902,39.07914128,46.73586229,48.52661431,49.98594822,49.52959335,50.37905391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,82,5-Mar,10.31240938,25.12963646,26.77317667,40.284085,49.79415125,52.99468375,54.63260375,54.11585854,55.12000208,9.425542173,22.96848772,24.47068348,36.81965369,45.51185424,48.43714095,49.93419983,49.46189471,50.3796819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,83,6-Mar,9.765089354,24.56549792,25.57998854,38.00916479,48.25859354,52.80772583,54.59809375,54.07045667,55.12086479,8.92529167,22.4528651,23.38010953,34.74037662,44.1083545,48.26626141,49.90265769,49.4203974,50.38047042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,84,7-Mar,8.999794917,23.84886021,23.80755438,34.90156542,45.94841417,52.26621292,54.52811583,53.99915021,55.12241729,8.225812554,21.79785823,21.7601047,31.90003079,41.99685055,47.77131861,49.83869787,49.35522329,50.3818894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,85,8-Mar,8.449913188,23.19975125,22.04978938,32.04039104,43.81301521,51.27340979,54.48287854,53.96447438,55.11069125,7.723220654,21.20457264,20.15350749,29.28491741,40.0450959,46.86389655,49.79735099,49.32352958,50.3711718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,86,9-Mar,7.914323792,22.63334063,20.3742375,29.53741917,41.8399825,50.08326354,54.36631458,53.87593417,55.08086,7.233691946,20.68687334,18.62205308,26.99720112,38.24174401,45.77610288,49.69081153,49.24260383,50.34390604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,87,10-Mar,7.451201208,22.13635833,18.79083563,27.24369021,39.8939075,48.76667917,54.09787625,53.76485771,55.06586188,6.810397904,20.23263151,17.17482377,24.90073285,36.46303146,44.57274476,49.44545889,49.14107995,50.33019776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,88,11-Mar,7.141810667,21.70756792,17.40950521,25.12432521,37.99488458,47.30224938,53.53553688,53.64347896,55.03483646,6.52761495,19.84071708,15.91228776,22.96363324,34.72732451,43.23425593,48.93148071,49.03013977,50.30184052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,89,12-Mar,6.938773021,21.38452063,16.39233417,23.41111646,36.253555,45.76435708,52.53388958,53.47092833,55.02018729,6.342038541,19.54545186,14.98259343,21.39776044,33.13574927,41.82862237,48.01597508,48.87242849,50.28845118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,90,13-Mar,6.567857792,21.02968542,15.58948646,22.03642646,34.75083833,44.16110313,51.11386188,53.28619563,54.98211938,6.003022022,19.22113247,14.24879062,20.14129378,31.76226623,40.36324826,46.71806976,48.70358281,50.25365711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,91,14-Mar,6.375586208,20.85595333,15.14456833,21.05227083,33.82110896,42.889285,49.57368542,53.04008438,54.95595104,5.827285794,19.06234134,13.84213545,19.24177554,30.91249359,39.20080649,45.31034847,48.47863712,50.22973925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,A,1110,92,15-Mar,6.209965896,20.64046188,14.71830792,20.03615563,32.9006975,41.57986729,47.85450146,52.37854333,54.85699854,5.675908829,18.86538216,13.45253344,18.31304625,30.07123752,38.0039987,43.73901433,47.8739886,50.13929667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
